StationNumber,StationName,MeasurementCount,UniqueVariables,DateRangeStart,DateRangeEnd
AB07AD0100,"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",2578,62,1/12/2023 14:35,9/21/2021 8:00
AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",2609,65,1/12/2022 11:20,9/8/2021 8:00
AB07BE0010,"ATHABASCA RIVER, AT TOWN OF ATHABASCA",2544,64,1/14/2021 12:30,9/9/2020 9:16
AB07BD0010,"ATHABASCA RIVER, AT VEGA FERRY (KLONDYKE) CENTRE OF RIVER ARC KM. 893.4",2583,60,1/10/2023 14:45,9/20/2023 13:50
AB07AE0160,"ATHABASCA RIVER, AT WINDFALL BRIDGE - TRANSECT ARC KM 1066.3",488,58,10/18/2023 13:05,9/18/2023 13:00
AB07DD0105,"ATHABASCA RIVER, D/S OF DEVILS ELBOW AT WINTER ROAD CROSSING",945,60,1/12/2022 10:20,3/9/2022 10:50
AB07CC0030,"ATHABASCA RIVER, U/S FORT MCMURRAY, 100 M U/S OF CONFLUENCE WITH HORSE RIVER - TRANSECT",2612,67,1/10/2022 15:00,9/7/2021 15:00
AB05ED0100,"ATIMOSWE CREEK, AT WSC GAUGE 6 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",1781,62,10/12/2021 13:20,9/28/2022 11:10
AB05DC0070,"BAPTISTE RIVER, AT AEP GAUGE 1.2 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",3025,64,1/11/2022 14:30,9/26/2023 11:55
AB05FA0060,"BATTLE RIVER, APPROX 2 KM D/S HWY 53",2442,61,1/12/2021 10:40,9/7/2022 11:40
AB05FA0340,"BATTLE RIVER, AT NORTH END OF DRIEDMEAT LAKE",2453,60,1/12/2021 12:20,9/7/2022 10:05
AB07GE0190,"BEAR RIVER, AT CONFLUENCE WITH WAPITI RIVER - CENTRE",51,51,10/5/2023 10:10,10/5/2023 10:10
AB05CA0045,"BEARBERRY CREEK, NEAR SUNDRE (NEAR WIER) REMOTE LOGGER SITE",1219,62,10/1/2020 11:30,9/8/2020 12:30
AB05AB0100,"BEAVER CREEK, WEST OF PEIGAN INDIAN RESERVE",1332,58,10/14/2021 11:45,9/26/2023 11:35
AB06AD0130,"BEAVER RIVER, AT GRAVEL PIT, 6 KM U/S OF AB-SK BORDER",2534,60,1/18/2023 12:15,9/24/2020 11:30
AB06AC0100,"BEAVER RIVER, AT HIGHWAY 892 BRIDGE NORTH OF ARDMORE - TRANSECT",2524,61,1/18/2023 15:00,9/24/2020 13:00
AB06AD0060,"BEAVER RIVER, AT HWY 28 BRIDGE NEAR BEAVER CROSSING - TRANSECT",2529,60,1/18/2023 13:30,9/24/2020 12:13
AB07GD0070,"BEAVERLODGE RIVER, AT GRAVEL PIT",233,60,11/10/2023 11:00,8/9/2022 14:21
AB07GD0005,"BEAVERLODGE RIVER, AT TWP 734 AND RR 132",219,58,11/1/2022 10:30,8/30/2022 11:45
AB07GD0045,"BEAVERLODGE RIVER, U/S HWY 722 BRIDGE",221,60,11/1/2022 13:15,8/31/2022 11:15
AB07GD0040,"BEAVERLODGE RIVER, U/S OF BEAVERLODGE",220,60,11/1/2022 12:30,8/31/2022 9:30
AB07GD0020,"BEAVERLODGE RIVER, U/S OF BEAVERTAIL CREEK",219,58,11/1/2022 11:15,8/30/2022 12:40
AB07GD0030,"BEAVERTAIL CREEK, AT THE MOUTH",217,58,11/1/2022 12:00,8/30/2022 13:10
AB07GD0022,"BEAVERTAIL CREEK, D/S OF TWP RD 720 BRIDGE",174,58,11/9/2023 16:05,8/9/2022 15:56
AB05AD0240,"BELLY RIVER, NEAR CONFLUENCE WITH OLDMAN RIVER",2363,62,1/11/2023 10:00,9/21/2023 8:00
AB05AD0070,"BELLY RIVER, U/S OF CONFLUENCE WITH WATERTON RIVER",2360,62,1/11/2023 11:00,9/21/2023 10:05
AB07AC0015,"BERLAND RIVER, 10 KM U/S OF ATHABASCA RIVER - AT WSC GAUGE",1152,60,10/18/2023 11:30,9/29/2021 11:00
AB05CH0120,"BERRY CREEK, NEAR MOUTH",1716,63,1/21/2020 12:05,9/14/2020 11:00
AB07GE0090,"BIG MOUNTAIN CREEK, NEAR THE MOUTH",51,51,10/4/2023 11:45,10/4/2023 11:45
AB05DC0021,"BIGHORN RIVER, 5 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",2159,62,10/20/2022 12:40,9/27/2023 14:00
AB05AA0035,"BLAIRMORE CREEK, 12KM U/S CONFLUENCE WITH CROWSNEST RIVER",363,52,5/18/2022 11:30,9/15/2021 9:15
AB05AA0045,"BLAIRMORE CREEK, 1KM U/S CONFLUENCE WITH CROWSNEST RIVER",367,52,5/17/2022 17:30,9/14/2021 16:30
AB05CC0460,"BLINDMAN RIVER, NEAR THE MOUTH, AT HWY 2A BRIDGE SOUTH OF BLACKFALDS",1868,62,1/18/2021 13:30,9/9/2020 12:30
AB05BM0590,"BOW RIVER, AT CLUNY",2519,63,1/12/2023 11:00,9/8/2021 10:40
AB05BH0010,"BOW RIVER, AT COCHRANE",2480,62,1/10/2022 12:20,9/7/2022 10:00
AB05BM0010,"BOW RIVER, BELOW CARSELAND DAM",2500,63,1/12/2022 12:05,9/9/2021 10:55
AB05BN0010,"BOW RIVER, NEAR RONALANE BRIDGE",2519,63,1/17/2022 12:15,9/9/2020 11:25
AB05DD0030,"BRAZEAU RIVER, AT BRAZEAU DAM DISCHARGE",2963,65,1/11/2022 11:50,9/26/2023 9:55
AB05AH0185,"BULLSHEAD CREEK RESERVOIR, NEAR NORTH EAST INLET",260,47,1/12/2021 13:03,8/20/2020 11:55
AB05DB0010,"CLEARWATER RIVER, AT ROCKY MOUNTAIN HOUSE",3084,64,1/11/2022 15:00,9/26/2023 14:05
AB05DA0015,"CLINE RIVER, AT HWY 11",1474,62,10/20/2022 11:45,9/27/2023 13:05
AB05BN0070,"COAL CREEK, 1/2 MILE WEST OF BOW CITY",1379,58,10/10/2023 11:45,9/15/2022 10:30
AB05DF0030,"CONJURING CREEK, 4 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",2028,60,10/11/2022 15:00,9/24/2020 9:50
AB05BM0620,"CROWFOOT CREEK, ON HWY 1",1376,62,10/10/2023 13:10,9/8/2021 9:40
AB05AA0065,"CROWSNEST CREEK, 0.2KM D/S HWY 3",367,52,5/18/2022 7:50,9/15/2021 7:55
AB05AA0055,"CROWSNEST CREEK, 0.5KM U/S CONFLUENCE WITH PTOLEMY CREEK",377,52,5/18/2022 8:15,9/15/2021 7:00
AB05AA0105,"CROWSNEST RIVER, 0.6KM U/S GOLD CREEK AT WSC GAUGE",375,52,5/18/2022 6:40,9/15/2021 9:50
AB05AA0110,"CROWSNEST RIVER, ABOVE BELLEVUE",377,52,5/17/2022 16:50,9/15/2021 10:20
AB05AA0090,"CROWSNEST RIVER, ABOVE COLEMAN",369,52,5/18/2022 7:15,9/15/2021 8:30
AB05BM0585,"EAST ARROWWOOD CREEK, NEAR THE MOUTH",1280,58,10/18/2022 11:45,9/8/2020 12:00
AB05BJ0450,"ELBOW RIVER, AT 9TH AVE BRIDGE",2496,63,1/10/2022 14:10,9/7/2022 12:40
AB06AC0150,"ETHEL LAKE (NEAR COLD LAKE), INLET FROM HILDA LAKE",436,54,10/14/2020 13:30,9/15/2020 18:10
AB06AC0160,"ETHEL LAKE (NEAR COLD LAKE), INLET FROM MARIE LAKE",851,57,1/20/2021 13:00,9/15/2020 17:15
AB05AG0140,"EXPANSE COULEE, ADJACENT TO HWY 36 BRIDGE CROSSING OLDMAN RIVER",1539,58,10/17/2023 10:40,9/28/2021 11:10
AB05CA0015,"FALLEN TIMBER CREEK, NEAR MOUTH",1229,62,10/1/2020 13:40,9/8/2020 11:00
AB05BK0070,"FISH CREEK, #8 NEAR THE MOUTH NE 1/4-25-22-1-W5",2193,62,1/11/2022 13:55,9/9/2021 12:50
AB05CG0032,"FISH CREEK, AT HIGHWAY 851",467,54,1/15/2021 10:00,9/16/2020 11:15
AB05BG0090,"GHOST RIVER, ABOVE CONFLUENCE WITH WAIPAROUS CREEK",2183,60,1/10/2022 9:40,9/7/2022 8:40
AB05AA1270,"GOLD CREEK, U/S OF HWY 3 BRIDGE",370,52,5/17/2022 17:15,9/14/2021 16:00
AB05BL0490,"HIGHWOOD RIVER, AT HWY 552",2187,62,1/12/2021 12:30,9/9/2021 9:50
AB05BL0210,"HIGHWOOD RIVER, D/S OF HIGH RIVER AT BEND IN BACK ROAD TO HIGH RIVER",2207,62,1/12/2021 11:40,9/9/2021 8:55
AB05CA0090,"JAMES RIVER, NEAR JAMES RIVER BRIDGE",1221,62,10/1/2020 12:10,9/8/2020 13:30
AB05BH0040,"JUMPINGPOUND CREEK, NEAR MOUTH",1978,62,1/10/2023 11:00,9/7/2022 10:30
AB05CE0690,"KNEEHILLS CREEK, NEAR THE MOUTH AT HWY 575",1443,62,1/19/2021 12:10,9/8/2022 13:20
AB07BK0125,"LESSER SLAVE RIVER, 9.5 KM U/S OF ATHABASCA RIVER CONFLUENCE",1744,58,1/10/2023 11:25,9/20/2023 11:00
AB05AC0190,"LITTLE BOW RIVER, AT CARMANGAY",2357,62,1/13/2022 10:58,9/27/2021 12:30
AB05AC0100,"LITTLE BOW RIVER, AT HWY 533 EAST OF NANTON",1544,62,10/18/2021 9:25,9/27/2021 10:25
AB05AC0175,"LITTLE BOW RIVER, D/S OF TWIN VALLEY RESERVOIR",2345,61,1/13/2022 10:03,9/27/2021 11:40
AB05AC0320,"LITTLE BOW RIVER, NEAR THE MOUTH",2325,62,1/19/2021 9:00,9/28/2021 12:20
AB05CB0270,"LITTLE RED DEER RIVER, WEST OF INNISFAIL",1895,62,1/18/2021 12:30,9/9/2020 8:45
AB05CJ0030,"MATZHIWIN CREEK, AT HWY 36",1123,62,10/12/2022 13:25,9/14/2020 10:00
AB07AG0345,"MCLEOD RIVER, AT WSC GAUGE 4.5KM U/S OF THE CONFLUENCE WITH GROAT CREEK",1216,60,10/18/2023 14:20,9/29/2021 13:40
AB05CC0100,"MEDICINE RIVER, AT HWY 54",1880,62,1/18/2021 11:45,9/9/2020 10:00
AB05CE0700,"MICHICHI CREEK, NEAR THE MOUTH",620,57,3/4/2021 12:00,7/28/2020 11:05
AB07AA0007,"MIETTE RIVER, AT WSC GAUGE AT HWY 16",1772,58,1/12/2023 12:40,9/20/2021 15:20
AB11AA0070,"MILK RIVER, AT HWY 880",2500,62,1/10/2023 11:10,9/21/2020 9:00
AB11AA0280,"MILK RIVER, NEAR WESTERN BOUNDARY, AT HWY 501",1222,62,10/13/2022 9:30,9/22/2020 9:00
AB11AA0150,"MILK RIVER, U/S OF TOWN OF MILK RIVER",1477,62,10/13/2022 8:30,9/21/2020 11:30
AB11AA0330,"MINER'S COULEE, SITE B",529,55,3/16/2021 10:30,7/21/2020 10:45
AB05DE0155,"MODESTE CREEK, AT AEP GAUGE 14 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",2106,59,10/11/2022 12:30,9/19/2023 11:55
AB05AC0160,"MOSQUITO CREEK, AT HWY 529 EAST OF PARKLAND",1481,58,10/18/2021 10:05,9/27/2021 11:00
AB07BB0326,"NAKAMUN LAKE OUTFLOW, AT TWP RD 570",144,48,1/29/2020 15:25,3/5/2020 12:00
AB05BN0130,"NEW WEST COULEE, AT HWY 36 CROSSING",1368,58,10/10/2023 10:45,9/15/2022 11:40
AB05DD0200,"NORDEGG RIVER, AT WSC GAUGE 36 KM U/S CONFLUENCE WITH BRAZEAU RIVER",3044,63,1/11/2022 12:00,9/26/2023 10:25
AB11AA0270,"NORTH MILK RIVER, NEAR INTERNATIONAL BOUNDARY, AT HWY 501",1469,62,10/13/2022 10:30,9/22/2020 10:00
AB05DC0050,"NORTH SASKATCHEWAN RIVER, 1 KM U/S CLEARWATER RIVER",2297,64,1/21/2021 13:20,9/26/2023 13:15
AB05DF0010,"NORTH SASKATCHEWAN RIVER, AT DEVON",2564,62,1/10/2022 13:15,9/7/2021 10:00
AB05EB0545,"NORTH SASKATCHEWAN RIVER, AT FORT SASKATCHEWAN BOAT LAUNCH - TRANSECT",707,50,10/24/2022 13:30,8/24/2022 10:25
AB05EC0010,"NORTH SASKATCHEWAN RIVER, AT PAKAN BRIDGE",2588,62,1/12/2023 11:10,9/8/2022 11:00
AB05DC0025,"NORTH SASKATCHEWAN RIVER, AT SAUNDERS CAMPGROUND - TRANSECT",2445,61,1/12/2022 12:45,9/26/2023 12:15
AB05DA0010,"NORTH SASKATCHEWAN RIVER, AT WSC GAUGE (AT WHIRLPOOL POINT)",2968,62,1/12/2022 10:30,9/27/2023 10:30
AB05EB0595,"NORTH SASKATCHEWAN RIVER, U/S FORT SASKATCHEWAN AT HWY 15 BRIDGE - TRANSECT",608,60,1/26/2023 11:10,9/6/2023 13:00
AB05BH0370,"NOSE CREEK, NEAR THE MOUTH - MEMORIAL DRIVE",2052,62,1/11/2021 13:40,9/9/2021 13:35
AB05AD0010,"OLDMAN RIVER, ABOVE LETHBRIDGE AT HWY 3",2439,65,1/19/2021 14:30,9/22/2021 12:00
AB05AG0010,"OLDMAN RIVER, AT HWY 36 BRIDGE NORTH OF TABER",2453,63,1/18/2021 13:10,9/28/2021 10:25
AB05AA1595,"OLDMAN RIVER, NEAR BROCKET-TRANSECT",2459,63,1/20/2021 12:25,9/26/2023 12:05
AB07HA0230,"PEACE RIVER, 1.5 KM ABOVE CONFLUENCE OF WHITEMUD RIVER-TRANSECT",2477,60,1/11/2023 13:45,9/16/2021 11:00
AB07HF0010,"PEACE RIVER, AT FORT VERMILION - CENTRE",2565,60,1/10/2023 12:45,9/20/2023 10:15
AB07FD0135,"PEACE RIVER, U/S SMOKY RIVER NEAR SHAFTESBURY FERRY TRANSECT",2515,60,1/18/2021 14:30,9/17/2020 10:00
AB07BC0025,"PEMBINA RIVER, AT WSC GAUGE NEAR JARVIE",1774,58,1/10/2023 13:15,9/20/2023 12:30
AB05AA0480,"PINCHER CREEK, AT HWY 3 NEAR THE MOUTH",2403,62,1/20/2021 11:50,9/26/2023 11:05
AB05AA0440,"PINCHER CREEK, AT PINCHER CREEK",2414,62,1/20/2021 11:10,9/26/2023 10:30
AB05BK0145,"PINE CREEK, NEAR THE MOUTH",2147,62,1/11/2022 12:30,9/9/2021 11:50
AB07GC0011,"PINTO CREEK, AT MOUTH",54,54,10/3/2023 9:30,10/3/2023 9:30
AB05FA1860,"PIPESTONE CREEK, AT LARCH TREE PARK, D/S OF HWY 2A",103,54,11/2/2021 9:15,11/9/2021 10:50
AB07GE0012,"PIPESTONE CREEK, AT MOUTH",52,52,10/3/2023 13:40,10/3/2023 13:40
AB05FA0270,"PIPESTONE CREEK, AT SEC HWY 822 NEAR GWYNNE",96,48,9/14/2021 10:40,9/21/2021 13:40
AB05FA0265,"PIPESTONE CREEK, NE OF WETASKIWIN AT RG RD 234",102,53,11/2/2021 9:45,11/9/2021 11:15
AB05FA1840,"PIPESTONE CREEK, U/S OF MILLET STP OUTFALL",101,54,11/2/2021 8:50,11/9/2021 10:40
AB05AA0054,"POND 3A, TENT MOUNTAIN MINE",237,53,5/18/2022 9:20,7/8/2021 12:00
AB05AA0056,"PTOLEMY CREEK, 0.1KM U/S CONFLUENCE WITH CROWSNEST CREEK",372,52,5/18/2022 8:10,9/15/2021 7:25
AB05AA0014,"RACEHORSE CREEK, U/S CONFLUENCE WITH OLDMAN RIVER",82,47,5/18/2022 12:30,6/21/2022 15:15
AB05DC0040,"RAM RIVER, AT AEP GAUGE 2 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",3073,64,1/11/2022 17:00,9/26/2023 13:20
AB05CB0070,"RAVEN RIVER, AT RAVEN",1884,62,1/18/2021 11:00,9/9/2020 9:30
AB11AA0290,"RED CREEK, NEAR THE MOUTH",909,61,10/20/2020 11:30,9/21/2020 10:40
AB05CC0010,"RED DEER RIVER, 1 KM U/S HWY 2 BRIDGE",2521,63,1/11/2022 13:00,9/9/2020 12:00
AB05CD0375,"RED DEER RIVER, AT MORRIN BRIDGE - TRANSECT",2506,63,1/12/2022 12:00,9/8/2022 12:00
AB05CD0250,"RED DEER RIVER, AT NEVIS BRIDGE - TRANSECT",2520,63,1/12/2022 10:00,9/8/2022 10:10
AB05CA0050,"RED DEER RIVER, AT SUNDRE",2484,63,1/11/2022 10:00,9/8/2020 12:00
AB05CJ0070,"RED DEER RIVER, D/S DINOSAUR PROV PARK AT HWY 884 NEAR JENNER - TRANSECT",2493,63,1/13/2022 11:00,9/20/2023 12:10
AB05FC0052,"RED WILLOW CREEK, 1 KM D/S OF STETTLER WWTF AT RR 200",48,48,9/21/2021 10:30,9/21/2021 10:30
AB05FC0051,"RED WILLOW CREEK, 4.3 KM U/S OF STETTLER WWTF",48,48,9/21/2021 10:15,9/21/2021 10:15
AB05FC0053,"RED WILLOW CREEK, 8.5 KM D/S OF STETTLER WWTF AT RR 193",48,48,9/21/2021 11:00,9/21/2021 11:00
AB05FC0054,"RED WILLOW CREEK, AT HWY 850",12,12,9/21/2021 11:20,9/21/2021 11:20
AB05EC0065,"REDWATER RIVER, AT WSC GAUGE 5 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",1867,62,10/12/2021 14:05,9/28/2022 13:45
AB07GD0091,"REDWILLOW RIVER, AT MOUTH",52,52,10/3/2023 11:15,10/3/2023 11:15
AB07GD0095,"REDWILLOW RIVER, D/S OF RR 121 BRIDGE",175,60,11/10/2023 12:20,8/9/2022 15:13
AB05DE0015,"ROSE CREEK, 1.3 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",2516,62,10/11/2022 10:10,9/27/2022 10:30
AB05CE0100,"ROSEBUD RIVER, AT HWY 10",1824,63,1/19/2021 12:45,9/8/2022 14:15
AB05AH0020,"ROSS CREEK, NEAR MOUTH",2166,62,1/12/2023 10:10,9/19/2023 12:40
AB07AH0005,"SAKWATAMAU RIVER, AT WSC GAUGE AT HWY 32",1215,60,10/18/2023 13:40,9/29/2021 13:00
AB05AH0050,"SEVEN PERSONS CREEK, NEAR THE MOUTH",2154,62,1/12/2023 9:40,9/19/2023 12:00
AB05BL0470,"SHEEP RIVER, 1.6 KM D/S OF HWY 2",2184,62,1/11/2022 9:46,9/9/2021 9:00
AB05BL1440,"SHEEP RIVER, APPROXIMATELY 1.0  KM D/S WSC GAUGE",2175,61,1/11/2022 11:15,9/9/2021 10:15
AB05DA0025,"SIFFLEUR RIVER, 1.5 KM U/S OF CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",2102,62,10/20/2022 10:15,9/27/2023 11:45
AB07GJ0010,"SMOKY RIVER, AT WATINO",2495,60,1/18/2021 12:00,9/17/2020 12:00
AB05AJ0060,"SOUTH SASKATCHEWAN RIVER, ABOVE MEDICINE HAT",2512,63,1/12/2023 11:00,9/19/2023 11:00
AB05AK0990,"SOUTH SASKATCHEWAN RIVER, BELOW MEDICINE HAT AND ABOVE FERTILIZER PLANT",2100,62,1/12/2023 12:00,9/19/2023 13:15
AB07GE0017,"SPRING CREEK, AT MOUTH",52,52,10/3/2023 15:00,10/3/2023 15:00
AB05AE0070,"ST. MARY RIVER, NEAR CONFLUENCE WITH OLDMAN RIVER",2342,62,1/19/2021 13:30,9/22/2021 10:40
AB07GD0027,"STEEPROCK CREEK, 17.2 KM U/S HWY 671",120,58,11/9/2023 15:07,8/9/2022 16:28
AB05DF0020,"STRAWBERRY CREEK, AT WSC GAUGE 4 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",2681,62,10/11/2022 13:40,9/27/2022 13:25
AB05EA0025,"STURGEON RIVER, AT WSC GAUGE 17.5 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",1863,62,10/12/2021 17:15,9/28/2022 14:35
AB07AA0005,"SUNWAPTA RIVER, AT WSC GAUGE 0.1 KM D/S OF SUNWAPTA LAKE",725,58,10/12/2022 14:20,9/20/2021 13:40
AB05DB0016,"TAY RIVER, DOWNSTREAM HWY 591",72,36,9/23/2020 10:30,9/23/2020 10:35
AB05DB0017,"TAY RIVER, DOWNSTREAM OF PIPELINE CROSSING",36,36,9/23/2020 11:45,9/23/2020 11:45
AB05DB0018,"TAY RIVER, UPSTREAM OF HWY 752",36,36,9/23/2020 14:06,9/23/2020 14:06
AB05CE0680,"THREEHILLS CREEK, NEAR MOUTH AT HWY 837",1430,63,1/8/2020 11:30,9/8/2022 12:55
AB05DE2000,"TOMAHAWK CREEK, 10 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",1961,60,10/11/2022 10:40,9/19/2023 11:15
AB05BN0065,"TWELVE MILE CREEK, AT GAUGING STATION (RANGE ROAD 525)",1302,58,10/12/2023 11:45,9/9/2020 12:30
AB05DB0019,"UNNAMED TRIBUTARY TO TAY RIVER, DOWNSTREAM OF PIPELINE (WDIB19646)",36,36,9/23/2020 12:05,9/23/2020 12:05
AB05EE0530,"VERMILION RIVER, 0.7 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",1853,62,10/12/2021 11:45,9/28/2022 9:55
AB05BG0100,"WAIPAROUS CREEK, ABOVE CONFLUENCE WITH GHOST RIVER",2214,62,1/10/2022 10:00,9/7/2022 8:50
AB07GE0180,"WAPITI RIVER, 0.1 KM U/S OF BEAR RIVER CONFLUENCE - CENTRE - KM 16.5",51,51,10/5/2023 9:15,10/5/2023 9:15
AB07GE0170,"WAPITI RIVER, 10 KM D/S OF GRANDE PRAIRIE PULP MILL EFFLUENT - CENTRE",51,51,10/5/2023 8:25,10/5/2023 8:25
AB07GE0200,"WAPITI RIVER, 10 KM U/S SMOKY",51,51,10/5/2023 11:15,10/5/2023 11:15
AB07GC0020,"WAPITI RIVER, 5 KM U/S OF REDWILLOW RIVER - CENTRE",54,54,10/3/2023 10:20,10/3/2023 10:20
AB07GE0060,"WAPITI RIVER, 5.0 KM D/S OF GRANDE PRAIRIE STP EFFLUENT - RIGHT BANK",51,51,10/4/2023 10:00,10/4/2023 10:00
AB07GE0165,"WAPITI RIVER, ABOVE CONFLUENCE WITH SMOKY RIVER-KM 0.5-TRANSECT",2422,60,1/11/2021 12:00,9/7/2023 10:30
AB07GE0020,"WAPITI RIVER, AT HWY #40 BRIDGE-KM 44-TRANSECT",2424,60,1/11/2021 14:45,9/7/2023 12:30
AB07GE0070,"WAPITI RIVER, D/S OF GRANDE PRAIRIE PULP MILL HAUL ROAD - CENTRE",52,52,10/4/2023 10:45,10/4/2023 10:45
AB07GE0150,"WAPITI RIVER, D/S RAILWAY BRIDGE SOUTH EAST OF GRANDE PRAIRIE-TRANSECT",51,51,10/4/2023 12:45,10/4/2023 12:45
AB07GE0015,"WAPITI RIVER, SOUTH OF DIMSDALE",51,51,10/3/2023 14:30,10/3/2023 14:30
AB07GE0072,"WAPITI RIVER, U/S OF BIG MOUNTAIN CREEK",53,53,10/4/2023 11:15,10/4/2023 11:15
AB07GC0010,"WAPITI RIVER, U/S OF PINTO CREEK",52,52,10/3/2023 9:00,10/3/2023 9:00
AB07GE0011,"WAPITI RIVER, U/S OF PIPESTONE CREEK",52,52,10/3/2023 13:00,10/3/2023 13:00
AB05CC0225,"WASKASOO CREEK, NEAR CONFLUENCE WITH RED DEER RIVER",1867,62,1/18/2021 14:00,9/9/2020 14:00
AB05AD0190,"WATERTON RIVER, ADJACENT TO SEC HWY 810 BRIDGE-WR2",2367,61,1/11/2023 12:00,9/21/2023 11:00
AB05DF0840,"WEED CREEK, 9.2 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",2089,60,10/11/2022 14:20,9/24/2020 8:55
AB05FA0269,"WEILLER CREEK, 1.2 KM U/S OF CONFLUENCE WITH PIPESTONE CREEK",96,48,9/14/2021 10:15,9/21/2021 13:25
AB05FA0268,"WEILLER CREEK, 4.5 KM U/S OF CONFLUENCE WITH PIPESTONE CREEK",96,48,9/14/2021 9:38,9/21/2021 13:10
AB05BM0571,"WEST ARROWWOOD CREEK, AT RG RD 242",848,58,10/19/2020 12:45,8/10/2020 12:10
AB05DF0260,"WHITEMUD CREEK, 4 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",2084,60,10/11/2022 16:00,9/24/2020 11:10
AB05AB0260,"WILLOW CREEK, AT SEC HWY 811",1540,58,10/15/2020 9:20,9/22/2021 14:00
