StationNumber,Station,SampleCount,DateRangeStart,DateRangeEnd,YearsSpanned,EstimatedFrequency,AvgGapDays,MaxGapDays,GapsOver60Days
AB05DB0010,"CLEARWATER RIVER, AT ROCKY MOUNTAIN HOUSE",56,2020-01-21 15:30:00,2023-12-13 14:40:00,3.890485968514716,Monthly,25.35185185185185,76.0,2.0
AB05DC0040,"RAM RIVER, AT AEP GAUGE 2 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",56,2020-01-21 16:00:00,2023-12-13 14:15:00,3.890485968514716,Monthly,25.27777777777778,74.0,2.0
AB05DD0200,"NORDEGG RIVER, AT WSC GAUGE 36 KM U/S CONFLUENCE WITH BRAZEAU RIVER",55,2020-01-21 11:45:00,2023-12-13 11:30:00,3.890485968514716,Monthly,25.830188679245282,63.0,2.0
AB05DC0070,"BAPTISTE RIVER, AT AEP GAUGE 1.2 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",55,2020-01-21 14:00:00,2023-12-13 12:45:00,3.890485968514716,Monthly,25.77358490566038,62.0,2.0
AB05DD0030,"BRAZEAU RIVER, AT BRAZEAU DAM DISCHARGE",54,2020-01-21 13:00:00,2023-12-13 11:15:00,3.890485968514716,Monthly,26.307692307692307,111.0,2.0
AB05DA0010,"NORTH SASKATCHEWAN RIVER, AT WSC GAUGE (AT WHIRLPOOL POINT)",54,2020-01-22 10:00:00,2023-12-14 10:45:00,3.893223819301848,Monthly,26.346153846153847,110.0,2.0
AB05EC0010,"NORTH SASKATCHEWAN RIVER, AT PAKAN BRIDGE",51,2020-01-09 11:15:00,2023-12-07 11:00:00,3.9069130732375084,Monthly,27.979591836734695,81.0,1.0
AB05DF0020,"STRAWBERRY CREEK, AT WSC GAUGE 4 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",49,2020-06-16 10:05:00,2023-10-17 13:25:00,3.3347022587268995,Monthly,25.02127659574468,182.0,3.0
AB05DF0010,"NORTH SASKATCHEWAN RIVER, AT DEVON",48,2020-01-07 12:45:00,2023-12-04 11:40:00,3.9041752224503763,Monthly,29.91304347826087,81.0,1.0
AB07HA0230,"PEACE RIVER, 1.5 KM ABOVE CONFLUENCE OF WHITEMUD RIVER-TRANSECT",48,2020-01-09 12:50:00,2023-12-07 12:15:00,3.9069130732375084,Monthly,29.847826086956523,40.0,0.0
AB05BH0010,"BOW RIVER, AT COCHRANE",46,2020-01-06 11:50:00,2023-12-04 11:15:00,3.9069130732375084,Monthly,31.295454545454547,90.0,1.0
AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",46,2020-01-21 12:15:00,2023-12-12 12:45:00,3.890485968514716,Monthly,31.363636363636363,97.0,1.0
AB07BD0010,"ATHABASCA RIVER, AT VEGA FERRY (KLONDYKE) CENTRE OF RIVER ARC KM. 893.4",46,2020-01-20 11:30:00,2023-12-05 11:00:00,3.871321013004791,Monthly,31.272727272727273,105.0,1.0
AB07AD0100,"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",46,2020-01-07 12:15:00,2023-12-07 14:20:00,3.915126625598905,Monthly,31.318181818181817,110.0,1.0
AB11AA0070,"MILK RIVER, AT HWY 880",46,2020-01-21 10:30:00,2023-12-12 11:00:00,3.890485968514716,Monthly,31.0,88.0,1.0
AB05DC0025,"NORTH SASKATCHEWAN RIVER, AT SAUNDERS CAMPGROUND - TRANSECT",46,2020-01-09 12:15:00,2023-12-14 12:15:00,3.9288158795345653,Monthly,31.431818181818183,91.0,1.0
AB05CD0375,"RED DEER RIVER, AT MORRIN BRIDGE - TRANSECT",46,2020-01-08 11:00:00,2023-12-19 10:35:00,3.9425051334702257,Monthly,31.568181818181817,102.0,1.0
AB05CD0250,"RED DEER RIVER, AT NEVIS BRIDGE - TRANSECT",46,2020-01-08 09:00:00,2023-12-18 13:40:00,3.9425051334702257,Monthly,31.568181818181817,102.0,1.0
AB05CJ0070,"RED DEER RIVER, D/S DINOSAUR PROV PARK AT HWY 884 NEAR JENNER - TRANSECT",46,2020-01-21 10:35:00,2023-12-19 13:30:00,3.909650924024641,Monthly,31.545454545454547,106.0,1.0
AB05CA0050,"RED DEER RIVER, AT SUNDRE",46,2020-01-07 09:40:00,2023-12-18 10:20:00,3.9452429842573578,Monthly,31.522727272727273,97.0,1.0
AB07HF0010,"PEACE RIVER, AT FORT VERMILION - CENTRE",46,2020-01-08 13:30:00,2023-12-06 13:25:00,3.9069130732375084,Monthly,31.227272727272727,105.0,1.0
AB07FD0135,"PEACE RIVER, U/S SMOKY RIVER NEAR SHAFTESBURY FERRY TRANSECT",46,2020-01-07 14:45:00,2023-12-05 13:45:00,3.9069130732375084,Monthly,31.227272727272727,106.0,1.0
AB05BJ0450,"ELBOW RIVER, AT 9TH AVE BRIDGE",46,2020-01-06 13:05:00,2023-12-05 11:00:00,3.909650924024641,Monthly,31.318181818181817,90.0,1.0
AB05BM0590,"BOW RIVER, AT CLUNY",46,2020-01-09 10:40:00,2023-12-06 10:30:00,3.9041752224503763,Monthly,31.363636363636363,91.0,1.0
AB05BN0010,"BOW RIVER, NEAR RONALANE BRIDGE",46,2020-01-20 12:00:00,2023-12-14 09:40:00,3.89596167008898,Monthly,31.431818181818183,90.0,1.0
AB05BM0010,"BOW RIVER, BELOW CARSELAND DAM",46,2020-01-09 12:05:00,2023-12-06 12:00:00,3.9041752224503763,Monthly,31.40909090909091,90.0,1.0
AB05AJ0060,"SOUTH SASKATCHEWAN RIVER, ABOVE MEDICINE HAT",46,2020-01-20 14:45:00,2023-12-14 08:30:00,3.89596167008898,Monthly,31.454545454545453,107.0,1.0
AB07GJ0010,"SMOKY RIVER, AT WATINO",46,2020-01-07 12:35:00,2023-12-05 11:45:00,3.9069130732375084,Monthly,31.181818181818183,105.0,1.0
AB05DE0015,"ROSE CREEK, 1.3 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",46,2020-06-11 10:00:00,2023-10-17 09:40:00,3.345653661875428,Monthly,26.681818181818183,182.0,3.0
AB05CC0010,"RED DEER RIVER, 1 KM U/S HWY 2 BRIDGE",46,2020-01-07 13:20:00,2023-12-18 12:10:00,3.9425051334702257,Monthly,31.477272727272727,97.0,1.0
AB07CC0030,"ATHABASCA RIVER, U/S FORT MCMURRAY, 100 M U/S OF CONFLUENCE WITH HORSE RIVER - TRANSECT",46,2020-01-20 14:30:00,2023-12-04 14:15:00,3.868583162217659,Monthly,31.181818181818183,99.0,1.0
AB06AC0100,"BEAVER RIVER, AT HIGHWAY 892 BRIDGE NORTH OF ARDMORE - TRANSECT",45,2020-01-20 15:00:00,2023-12-12 14:45:00,3.890485968514716,Monthly,31.906976744186046,116.0,1.0
AB06AD0130,"BEAVER RIVER, AT GRAVEL PIT, 6 KM U/S OF AB-SK BORDER",45,2020-01-20 13:40:00,2023-12-12 12:50:00,3.890485968514716,Monthly,31.930232558139537,116.0,1.0
AB07GE0020,"WAPITI RIVER, AT HWY #40 BRIDGE-KM 44-TRANSECT",45,2020-01-27 15:15:00,2023-12-04 13:00:00,3.8494182067077345,Monthly,31.906976744186046,110.0,1.0
AB06AD0060,"BEAVER RIVER, AT HWY 28 BRIDGE NEAR BEAVER CROSSING - TRANSECT",45,2020-01-20 14:35:00,2023-12-12 14:00:00,3.890485968514716,Monthly,31.906976744186046,116.0,1.0
AB05AA1595,"OLDMAN RIVER, NEAR BROCKET-TRANSECT",45,2020-01-21 12:00:00,2023-12-18 13:15:00,3.9069130732375084,Monthly,31.906976744186046,113.0,1.0
AB05AA0480,"PINCHER CREEK, AT HWY 3 NEAR THE MOUTH",45,2020-01-21 12:15:00,2023-12-18 12:50:00,3.9069130732375084,Monthly,31.953488372093023,113.0,1.0
AB05AG0010,"OLDMAN RIVER, AT HWY 36 BRIDGE NORTH OF TABER",45,2020-01-22 11:00:00,2023-12-13 12:40:00,3.890485968514716,Monthly,32.06976744186046,126.0,1.0
AB05AD0010,"OLDMAN RIVER, ABOVE LETHBRIDGE AT HWY 3",45,2020-01-21 14:20:00,2023-12-12 11:15:00,3.887748117727584,Monthly,31.837209302325583,111.0,1.0
AB05AA0440,"PINCHER CREEK, AT PINCHER CREEK",45,2020-01-21 11:30:00,2023-12-18 12:00:00,3.9069130732375084,Monthly,31.906976744186046,113.0,1.0
AB07GE0165,"WAPITI RIVER, ABOVE CONFLUENCE WITH SMOKY RIVER-KM 0.5-TRANSECT",45,2020-01-27 12:00:00,2023-12-04 11:00:00,3.8494182067077345,Monthly,31.837209302325583,110.0,1.0
AB07BE0010,"ATHABASCA RIVER, AT TOWN OF ATHABASCA",45,2020-01-27 12:00:00,2023-11-08 13:00:00,3.780971937029432,Monthly,31.25581395348837,97.0,1.0
AB05FA0060,"BATTLE RIVER, APPROX 2 KM D/S HWY 53",45,2020-01-22 11:45:00,2023-12-06 12:15:00,3.871321013004791,Monthly,31.72093023255814,124.0,1.0
AB05FA0340,"BATTLE RIVER, AT NORTH END OF DRIEDMEAT LAKE",45,2020-01-22 13:30:00,2023-12-06 10:45:00,3.868583162217659,Monthly,31.813953488372093,124.0,1.0
AB05AD0240,"BELLY RIVER, NEAR CONFLUENCE WITH OLDMAN RIVER",44,2020-01-21 13:25:00,2023-12-13 11:20:00,3.890485968514716,Monthly,32.642857142857146,117.0,2.0
AB05AD0070,"BELLY RIVER, U/S OF CONFLUENCE WITH WATERTON RIVER",44,2020-01-22 09:40:00,2023-12-13 08:40:00,3.887748117727584,Monthly,32.785714285714285,124.0,2.0
AB05AC0175,"LITTLE BOW RIVER, D/S OF TWIN VALLEY RESERVOIR",44,2020-01-20 10:30:00,2023-12-13 10:15:00,3.893223819301848,Monthly,32.73809523809524,111.0,2.0
AB05AC0320,"LITTLE BOW RIVER, NEAR THE MOUTH",44,2020-01-22 09:50:00,2023-12-13 14:10:00,3.890485968514716,Monthly,32.785714285714285,119.0,1.0
AB05AD0190,"WATERTON RIVER, ADJACENT TO SEC HWY 810 BRIDGE-WR2",44,2020-01-22 10:40:00,2023-12-13 10:05:00,3.887748117727584,Monthly,32.785714285714285,124.0,2.0
AB05AE0070,"ST. MARY RIVER, NEAR CONFLUENCE WITH OLDMAN RIVER",44,2020-01-22 08:40:00,2023-12-12 12:15:00,3.887748117727584,Monthly,32.714285714285715,119.0,2.0
AB05AC0190,"LITTLE BOW RIVER, AT CARMANGAY",44,2020-01-20 11:00:00,2023-12-13 11:00:00,3.89596167008898,Monthly,32.714285714285715,111.0,2.0
AB05DC0050,"NORTH SASKATCHEWAN RIVER, 1 KM U/S CLEARWATER RIVER",43,2020-01-09 14:10:00,2023-12-13 13:30:00,3.923340177960301,Monthly,33.58536585365854,90.0,3.0
AB05BL1440,"SHEEP RIVER, APPROXIMATELY 1.0  KM D/S WSC GAUGE",41,2020-01-07 09:50:00,2023-12-07 11:35:00,3.915126625598905,Quarterly,35.48717948717949,91.0,4.0
AB05BL0470,"SHEEP RIVER, 1.6 KM D/S OF HWY 2",41,2020-01-07 10:40:00,2023-12-07 09:20:00,3.912388774811773,Quarterly,35.43589743589744,90.0,4.0
AB05BL0490,"HIGHWOOD RIVER, AT HWY 552",41,2020-01-07 12:15:00,2023-12-07 10:10:00,3.912388774811773,Quarterly,35.43589743589744,91.0,4.0
AB05BK0070,"FISH CREEK, #8 NEAR THE MOUTH NE 1/4-25-22-1-W5",41,2020-01-07 14:00:00,2023-12-05 10:00:00,3.9069130732375084,Quarterly,35.43589743589744,90.0,4.0
AB05BG0090,"GHOST RIVER, ABOVE CONFLUENCE WITH WAIPAROUS CREEK",41,2020-01-06 10:05:00,2023-12-04 09:40:00,3.9069130732375084,Quarterly,35.48717948717949,114.0,4.0
AB05BL0210,"HIGHWOOD RIVER, D/S OF HIGH RIVER AT BEND IN BACK ROAD TO HIGH RIVER",41,2020-01-07 11:40:00,2023-12-07 10:50:00,3.912388774811773,Quarterly,35.51282051282051,91.0,4.0
AB05BG0100,"WAIPAROUS CREEK, ABOVE CONFLUENCE WITH GHOST RIVER",41,2020-01-06 10:20:00,2023-12-04 09:50:00,3.9069130732375084,Quarterly,35.46153846153846,114.0,4.0
AB05AH0020,"ROSS CREEK, NEAR MOUTH",40,2020-01-20 13:30:00,2023-12-13 14:05:00,3.89596167008898,Quarterly,36.36842105263158,97.0,5.0
AB05BK0145,"PINE CREEK, NEAR THE MOUTH",40,2020-01-07 13:20:00,2023-12-05 09:15:00,3.9069130732375084,Quarterly,36.39473684210526,90.0,4.0
AB05AH0050,"SEVEN PERSONS CREEK, NEAR THE MOUTH",40,2020-01-20 13:50:00,2023-12-13 13:50:00,3.89596167008898,Quarterly,36.421052631578945,97.0,5.0
AB05DC0021,"BIGHORN RIVER, 5 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",40,2020-06-11 12:30:00,2023-10-25 13:15:00,3.370294318959617,Monthly,31.657894736842106,153.0,3.0
AB05BH0370,"NOSE CREEK, NEAR THE MOUTH - MEMORIAL DRIVE",39,2020-01-06 13:30:00,2023-12-05 10:30:00,3.909650924024641,Quarterly,37.2972972972973,124.0,4.0
AB05AK0990,"SOUTH SASKATCHEWAN RIVER, BELOW MEDICINE HAT AND ABOVE FERTILIZER PLANT",39,2020-01-20 15:20:00,2023-12-13 14:50:00,3.893223819301848,Quarterly,37.2972972972973,97.0,5.0
AB05DE0155,"MODESTE CREEK, AT AEP GAUGE 14 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",39,2020-06-11 12:00:00,2023-10-17 12:10:00,3.34839151266256,Monthly,31.783783783783782,182.0,3.0
AB05DA0025,"SIFFLEUR RIVER, 1.5 KM U/S OF CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",39,2020-06-09 13:00:00,2023-10-25 10:55:00,3.373032169746749,Monthly,32.24324324324324,153.0,3.0
AB05DF0840,"WEED CREEK, 9.2 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",38,2020-06-16 10:43:00,2023-10-17 14:00:00,3.3347022587268995,Monthly,32.77777777777778,182.0,3.0
AB05DF0260,"WHITEMUD CREEK, 4 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",38,2020-06-16 08:25:00,2023-10-17 16:05:00,3.3347022587268995,Monthly,32.80555555555556,182.0,3.0
AB05BH0040,"JUMPINGPOUND CREEK, NEAR MOUTH",37,2020-01-06 11:25:00,2023-12-04 10:50:00,3.9069130732375084,Quarterly,39.6,153.0,5.0
AB05DF0030,"CONJURING CREEK, 4 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",37,2020-06-16 11:35:00,2023-10-17 15:00:00,3.3347022587268995,Monthly,33.77142857142857,182.0,3.0
AB05DE2000,"TOMAHAWK CREEK, 10 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",36,2020-06-11 13:30:00,2023-10-17 11:25:00,3.345653661875428,Monthly,34.6764705882353,182.0,3.0
AB05CC0460,"BLINDMAN RIVER, NEAR THE MOUTH, AT HWY 2A BRIDGE SOUTH OF BLACKFALDS",35,2020-01-07 14:00:00,2023-06-20 17:30:00,3.4496919917864477,Quarterly,36.60606060606061,97.0,3.0
AB05CB0270,"LITTLE RED DEER RIVER, WEST OF INNISFAIL",35,2020-01-07 12:30:00,2023-06-22 15:05:00,3.455167693360712,Quarterly,36.666666666666664,97.0,3.0
AB05CC0100,"MEDICINE RIVER, AT HWY 54",35,2020-01-07 11:30:00,2023-06-22 14:25:00,3.455167693360712,Quarterly,36.63636363636363,98.0,3.0
AB05CC0225,"WASKASOO CREEK, NEAR CONFLUENCE WITH RED DEER RIVER",35,2020-01-07 15:00:00,2023-06-20 16:45:00,3.4496919917864477,Quarterly,36.63636363636363,97.0,3.0
AB05CB0070,"RAVEN RIVER, AT RAVEN",35,2020-01-07 10:45:00,2023-06-22 13:40:00,3.455167693360712,Quarterly,36.78787878787879,98.0,3.0
AB05EC0065,"REDWATER RIVER, AT WSC GAUGE 5 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",34,2020-06-17 09:15:00,2023-10-19 14:35:00,3.3374401095140316,Quarterly,36.9375,182.0,3.0
AB05CE0100,"ROSEBUD RIVER, AT HWY 10",34,2020-01-08 13:00:00,2023-06-19 14:45:00,3.4442162902121836,Quarterly,37.8125,132.0,3.0
AB05EA0025,"STURGEON RIVER, AT WSC GAUGE 17.5 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",34,2020-06-17 10:40:00,2023-10-19 15:25:00,3.3374401095140316,Quarterly,36.90625,182.0,3.0
AB05EE0530,"VERMILION RIVER, 0.7 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",34,2020-06-18 10:30:00,2023-10-19 10:35:00,3.3347022587268995,Quarterly,36.96875,182.0,3.0
