StationNumber,2020,2021,2022,2023
AB05AA0014,0,0,82,0
AB05AA0035,0,170,193,0
AB05AA0045,0,170,197,0
AB05AA0054,0,38,199,0
AB05AA0055,0,178,199,0
AB05AA0056,0,175,197,0
AB05AA0065,0,171,196,0
AB05AA0090,0,171,198,0
AB05AA0105,0,177,198,0
AB05AA0110,0,178,199,0
AB05AA0440,484,640,640,650
AB05AA0480,485,626,644,648
AB05AA1270,0,171,199,0
AB05AA1595,504,651,648,656
AB05AB0100,268,420,373,271
AB05AB0260,268,423,424,425
AB05AC0100,270,416,422,436
AB05AC0160,266,415,426,374
AB05AC0175,420,638,640,647
AB05AC0190,423,634,646,654
AB05AC0320,426,625,635,639
AB05AD0010,507,651,638,643
AB05AD0070,426,634,651,649
AB05AD0190,426,641,648,652
AB05AD0240,432,639,645,647
AB05AE0070,424,643,637,638
AB05AG0010,502,643,649,659
AB05AG0140,264,419,424,432
AB05AH0020,480,436,592,658
AB05AH0050,480,434,588,652
AB05AH0185,175,85,0,0
AB05AJ0060,559,645,652,656
AB05AK0990,480,433,534,653
AB05BG0090,524,427,588,644
AB05BG0100,536,437,587,654
AB05BH0010,548,645,641,646
AB05BH0040,536,429,476,537
AB05BH0370,514,419,519,600
AB05BJ0450,546,649,648,653
AB05BK0070,533,427,588,645
AB05BK0145,530,434,589,594
AB05BL0210,536,425,591,655
AB05BL0470,523,425,589,647
AB05BL0490,522,422,588,655
AB05BL1440,524,422,583,646
AB05BM0010,552,643,647,658
AB05BM0571,265,158,212,213
AB05BM0585,320,211,371,378
AB05BM0590,553,651,654,661
AB05BM0620,312,261,425,378
AB05BN0010,551,657,651,660
AB05BN0065,309,256,363,374
AB05BN0070,319,262,421,377
AB05BN0130,318,258,416,376
AB05CA0015,318,320,372,219
AB05CA0045,316,317,369,217
AB05CA0050,544,645,643,652
AB05CA0090,316,316,370,219
AB05CB0070,533,485,529,337
AB05CB0270,537,491,531,336
AB05CC0010,559,649,649,664
AB05CC0100,536,484,523,337
AB05CC0225,531,484,530,322
AB05CC0460,534,483,523,328
AB05CD0250,560,653,651,656
AB05CD0375,561,643,647,655
AB05CE0100,483,481,533,327
AB05CE0680,477,318,477,158
AB05CE0690,425,377,427,214
AB05CE0700,101,205,155,159
AB05CG0032,192,119,156,0
AB05CH0120,538,480,424,274
AB05CJ0030,268,265,370,220
AB05CJ0070,554,650,640,649
AB05DA0010,589,755,768,856
AB05DA0015,0,319,533,622
AB05DA0025,411,523,540,628
AB05DB0010,601,768,838,877
AB05DB0016,72,0,0,0
AB05DB0017,36,0,0,0
AB05DB0018,36,0,0,0
AB05DB0019,36,0,0,0
AB05DC0021,413,529,591,626
AB05DC0025,527,625,647,646
AB05DC0040,600,772,830,871
AB05DC0050,534,625,592,546
AB05DC0070,603,712,835,875
AB05DD0030,577,754,767,865
AB05DD0200,606,721,835,882
AB05DE0015,265,857,752,642
AB05DE0155,265,621,588,632
AB05DE2000,265,483,589,624
AB05DF0010,612,633,653,666
AB05DF0020,265,967,809,640
AB05DF0030,266,484,643,635
AB05DF0260,266,539,652,627
AB05DF0840,264,546,646,633
AB05EA0025,264,483,600,516
AB05EB0545,0,0,707,0
AB05EB0595,0,0,0,608
AB05EC0010,631,632,656,669
AB05EC0065,265,483,600,519
AB05ED0100,266,489,596,430
AB05EE0530,267,480,595,511
AB05FA0060,495,653,647,647
AB05FA0265,0,102,0,0
AB05FA0268,0,96,0,0
AB05FA0269,0,96,0,0
AB05FA0270,0,96,0,0
AB05FA0340,497,655,653,648
AB05FA1840,0,101,0,0
AB05FA1860,0,103,0,0
AB05FC0051,0,48,0,0
AB05FC0052,0,48,0,0
AB05FC0053,0,48,0,0
AB05FC0054,0,12,0,0
AB06AC0100,492,676,684,672
AB06AC0150,229,0,207,0
AB06AC0160,335,158,358,0
AB06AD0060,498,678,683,670
AB06AD0130,494,678,684,678
AB07AA0005,0,312,307,106
AB07AA0007,0,479,645,648
AB07AC0015,0,361,418,373
AB07AD0100,548,670,675,685
AB07AE0160,0,0,0,488
AB07AG0345,0,364,427,425
AB07AH0005,0,363,425,427
AB07BB0326,144,0,0,0
AB07BC0025,0,480,644,650
AB07BD0010,546,673,678,686
AB07BE0010,555,683,681,625
AB07BK0125,0,465,636,643
AB07CC0030,556,678,682,696
AB07DD0010,556,682,680,691
AB07DD0105,232,233,240,240
AB07FD0135,545,646,660,664
AB07GC0010,0,0,0,52
AB07GC0011,0,0,0,54
AB07GC0020,0,0,0,54
AB07GD0005,0,0,106,113
AB07GD0020,0,0,106,113
AB07GD0022,0,0,62,112
AB07GD0027,0,0,62,58
AB07GD0030,0,0,105,112
AB07GD0040,0,0,107,113
AB07GD0045,0,0,108,113
AB07GD0070,0,0,65,168
AB07GD0091,0,0,0,52
AB07GD0095,0,0,63,112
AB07GE0011,0,0,0,52
AB07GE0012,0,0,0,52
AB07GE0015,0,0,0,51
AB07GE0017,0,0,0,52
AB07GE0020,479,646,649,650
AB07GE0060,0,0,0,51
AB07GE0070,0,0,0,52
AB07GE0072,0,0,0,53
AB07GE0090,0,0,0,51
AB07GE0150,0,0,0,51
AB07GE0165,485,645,649,643
AB07GE0170,0,0,0,51
AB07GE0180,0,0,0,51
AB07GE0190,0,0,0,51
AB07GE0200,0,0,0,51
AB07GJ0010,542,650,650,653
AB07HA0230,485,652,669,671
AB07HF0010,552,662,677,674
AB11AA0070,560,638,650,652
AB11AA0150,320,313,423,421
AB11AA0270,321,309,421,418
AB11AA0280,320,262,374,266
AB11AA0290,268,211,271,159
AB11AA0330,106,211,53,159
